zustreben	4.62
ausbohren	4.62
eingraben	4.60
anfordern	4.60
abnutzen	4.60
durchdeklinieren	4.58
aufforsten	4.58
auszählen	4.57
aufbahren	4.57
auskühlen	4.55
aufhorchen	4.55
überbleiben	4.53
anbleiben	4.53
nachordnen	4.50
nachdenken	4.50
aufstufen	4.50
aufragen	4.50
aufdrängen	4.50
anrollen	4.50
anreichern	4.50
anprobieren	4.50
ausstecken	4.48
zumachen	4.47
unterschlüpfen	4.47
nachtragen	4.47
durchdiskutieren	4.47
ausdrehen	4.47
einstrahlen	4.46
anmahnen	4.45
ausweinen	4.44
abschreiten	4.44
umarbeiten	4.43
überstreifen	4.43
einreiten	4.43
einlochen	4.43
anlagern	4.43
abflachen	4.43
zufüttern	4.40
austilgen	4.40
durchrechnen	4.38
zumarschieren	4.35
zustürmen	4.33
nachäffen	4.33
durchatmen	4.33
aussagen	4.33
abstechen	4.33
zurasen	4.32
zureden	4.31
nachschießen	4.31
einschrumpfen	4.31
absagen	4.31
umbetten	4.29
einhängen	4.27
durchhängen	4.27
aufkochen	4.27
aufbauschen	4.27
überordnen	4.25
ausschauen	4.25
ankämpfen	4.23
zunicken	4.21
durchstehen	4.21
auswirken	4.21
aussterben	4.21
auftreffen	4.21
auslernen	4.20
abkommandieren	4.20
abfischen	4.20
umbauen	4.19
einchecken	4.17
abfilmen	4.14
einklinken	4.13
aushelfen	4.11
ausklinken	4.10
angelangen	4.10
umsteuern	4.08
auskochen	4.08
aufpflanzen	4.08
absichern	4.08
umdichten	4.07
einstampfen	4.07
ausdifferenzieren	4.07
absegnen	4.07
abkassieren	4.07
aushorchen	4.04
umhören	4.00
einschiffen	4.00
aufstöbern	4.00
anfärben	4.00
abkapseln	4.00
abjagen	4.00
abformen	4.00
nachhaken	3.96
auslassen	3.96
umtreiben	3.95
auffressen	3.93
anrühren	3.93
ummodeln	3.92
umdeuten	3.92
nachfassen	3.92
aussteuern	3.90
ausgreifen	3.90
abstempeln	3.87
zulegen	3.86
aufbrühen	3.86
eindampfen	3.85
abwiegen	3.83
umdisponieren	3.80
aufbäumen	3.80
zupacken	3.79
umnutzen	3.79
durchmachen	3.79
auswürfeln	3.77
abmachen	3.77
andenken	3.75
aufscheinen	3.71
zuteilen	3.69
nachschenken	3.69
eintauschen	3.67
abnabeln	3.67
unterkommen	3.64
aufklären	3.64
ausreizen	3.62
ausmauern	3.62
aufklaren	3.62
anmachen	3.62
aufhaben	3.60
einschießen	3.57
abknöpfen	3.54
nachsitzen	3.53
aufbessern	3.50
unterbringen	3.47
anfeinden	3.47
abkehren	3.46
einrüsten	3.43
einkesseln	3.43
auspendeln	3.43
nachlösen	3.42
ausspähen	3.40
aufmischen	3.40
zureiten	3.36
ausloten	3.36
unterkriegen	3.33
umspringen	3.33
einsitzen	3.33
anzählen	3.33
nachhängen	3.31
einstellen	3.31
aufschaukeln	3.31
abwinken	3.31
ausnützen	3.30
zutreffen	3.29
zuschanzen	3.29
ausbilden	3.21
ausweiden	3.18
auflehnen	3.15
abtun	3.09
ausmustern	3.07
abschweifen	3.07
ableisten	3.07
eindecken	3.06
ausformulieren	3.00
aufsparen	3.00
anbaggern	3.00
unterjubeln	2.93
einläuten	2.93
anbändeln	2.93
anöden	2.91
ausgründen	2.90
auflachen	2.80
aufwarten	2.77
abmühen	2.77
andrehen	2.73
umkommen	2.71
durchnehmen	2.64
aufleben	2.64
ausstatten	2.60
ausrüsten	2.58
abflauen	2.55
einfallen	2.54
aufbrauchen	2.54
abwiegeln	2.41
durchsetzen	2.40
aussöhnen	2.33
einkehren	2.00
abtrotzen	2.00
zurichten	1.93
anstiften	1.80
